DateTime : 07/12/2025, 12:19:42 am , HostName : localhost:3000 , pathname : / 
DateTime : 07/12/2025, 12:19:42 am , HostName : localhost:3000 , pathname : /favicon.ico 
DateTime : 07/12/2025, 12:19:57 am , HostName : localhost:3000 , pathname : /todos 
DateTime : 07/12/2025, 12:19:57 am , HostName : localhost:3000 , pathname : /favicon.ico 
DateTime : 07/12/2025, 12:20:07 am , HostName : localhost:3000 , pathname : /users 
DateTime : 07/12/2025, 12:20:07 am , HostName : localhost:3000 , pathname : /favicon.ico 
DateTime : 07/12/2025, 12:20:13 am , HostName : localhost:3000 , pathname : /auth 
DateTime : 07/12/2025, 12:20:13 am , HostName : localhost:3000 , pathname : /favicon.ico 
DateTime : 07/12/2025, 12:23:04 am , HostName : localhost:3000 , pathname : /auth 
DateTime : 07/12/2025, 12:23:04 am , HostName : localhost:3000 , pathname : /favicon.ico 
DateTime : 07/12/2025, 12:23:13 am , HostName : localhost:3000 , pathname : /auth 
DateTime : 07/12/2025, 12:23:13 am , HostName : localhost:3000 , pathname : /favicon.ico 
DateTime : 07/12/2025, 12:23:22 am , HostName : localhost:3000 , pathname : / 
DateTime : 07/12/2025, 12:23:22 am , HostName : localhost:3000 , pathname : /favicon.ico 
DateTime : 07/12/2025, 12:23:31 am , HostName : localhost:3000 , pathname : /about 
DateTime : 07/12/2025, 12:23:31 am , HostName : localhost:3000 , pathname : /favicon.ico 
